@relation soccer

@attribute ball {close,far}
@attribute net { close,far}
@attribute action { dash,turn,kick}

@data
far,far,turn
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,turn
far,far,dash
close,far,kick
far,far,turn
far,far,turn
far,far,dash
far,far,turn
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
close,far,kick
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,turn
far,far,turn
close,far,kick
far,far,turn
far,far,turn
far,far,turn
far,far,turn
far,far,dash
far,far,turn
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,dash
far,far,turn
far,far,dash
far,far,dash
?,far,turn
?,?,turn
?,?,turn
?,?,turn
?,?,turn
?,?,turn
?,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,turn
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,turn
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,turn
far,?,dash
far,?,turn
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,turn
far,?,turn
far,?,dash
far,?,dash
far,?,turn
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,dash
far,?,turn
far,?,dash
far,?,turn
far,?,dash
far,?,turn
far,?,dash
far,?,dash
far,?,turn
far,?,dash
far,?,turn
far,?,dash
far,?,dash
far,?,dash
far,?,turn
far,?,dash
far,?,dash
far,?,dash
far,?,dash
far,?,turn
far,?,dash
far,?,dash
far,?,dash
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
far,?,turn
